"NAME"	"LogPhase_RSeq_S3"	"MS10_hrs_Rseq_S5"	"MS14_hrs_Rseq_S6"	"MS20_hrs_Rseq_S7"	"MS30_hrs_Rseq_S8"	"MS44_hrs_Rseq_S9"	"MS55_hrs_Rseq_S10"
"15S_RRNA"	4.00682	5.70713	6.21887	4.6159	5.50204	5.46122	4.7079
"21S_RRNA"	2.20379	5.72992	7.43261	5.06763	7.03072	5.76251	3.89914
"CDC65"	33.0599	26.8754	27.8933	22.705	15.2025	7.75493	20.1574
"CEN1"	2	2	2	2	2	2	2
"CEN10"	2	2	2	2	2	2	2
"CEN11"	2	2	2	2	2	2	2
"CEN12"	2	2	2	2	2	2	2
"CEN13"	2	2	2	2	2	2	2
"CEN14"	2	2	2	2	2	2	2
"CEN15"	2	2	2	2	2	2	2
"CEN16"	2	2	2	2	2	2	2
"CEN2"	2	2	2	2	2	2	2
"CEN3"	2	2	2	2	2	2	2
"CEN4"	2	2	2	2	2	2	2
"CEN5"	2	2	2	2	2	2	2
"CEN6"	2	2	2	2	2	2	2
"CEN7"	2	2	2	2	2	2	2
"CEN8"	2	2	2	2	2	2	2
"CEN9"	2	2	2	2	2	2	2
"chrI-0001-W"	2	3.53179	2	5.07252	2	2.53036	2.39871
"chrI-0002-W"	2	10.7426	5.30422	2	2.78019	7.02513	14.7386
"chrI-0003-W"	2	2	2	2	2	2	2
"chrI-0004-W"	6.46958	12.8124	7.63097	10.2808	12.2097	16.0996	22.6889
"chrI-0005-W"	8.69163	6.76169	3.91537	4.99761	3.69772	6.82453	8.64235
"chrI-0006-W"	2	2	2	2	2	2	3.67297
"chrI-0007-C"	2	2	2.69264	2	2	2	5.35894
"chrI-0008-C"	2	5.65425	3.80923	2.54535	2.12485	4.61515	9.09552
"chrI-0009-W"	2	5.24278	3.06108	2	3.15137	2	2
"chrI-0010-W"	2	2	2	2	2	2	2
"chrII-0011-W"	2	2	2	2	2	2	2
"chrII-0012-W"	2	2	2	2	2	2	2
"chrII-0013-W"	2	2	2	2	2	2	2
"chrII-0014-W"	2	2	2	2	2	2	2
"chrII-0015-W"	2	2	2	2	2	2	2
"chrII-0016-C"	2	2	2	2	2	2	2
"chrII-0017-W"	2.54297	3.55296	5.64786	8.98607	8.07883	12.1055	13.7914
"chrII-0018-W"	2	2	2.56518	2.50577	3.15167	2.204	4.4712
"chrII-0019-C"	7.40139	4.19368	4.76812	6.00703	3.37628	6.30315	8.69251
"chrII-0020-C"	3.1515	5.06753	4.33614	5.61562	6.01536	8.22077	17.5001
"chrII-0021-W"	7.24153	4.28679	5.60609	5.05146	5.95201	7.87028	2.45401
"chrII-0022-W"	2	2	2	2	2	2	2
"chrII-0023-W"	2	2	2	2	2	2	2
"chrII-0024-W"	2	2	2	2	2	2	2
"chrII-0025-W"	2	2	2	2	2	2	2
"chrII-0026-W"	2	2	2	2	2	2	2
"chrII-0027-C"	2	2	2	2	2	2	2
"chrII-0028-W"	2	2	2	4.52217	5.69888	8.13446	4.55149
"chrIII-0029-W"	7.39675	2	2	2	2	2	2
"chrIII-0030-W"	2	2	2	2	2	2	2
"chrIII-0031-W"	2	2	2	2	2	2	2
"chrIII-0032-W"	2	2	2	2	2	2	2
"chrIII-0033-W"	2.45695	4.71146	3.59631	3.04669	5.18333	9.34671	7.30988
"chrIII-0034-W"	2	2	2	2	2.37256	2	6.00124
"chrIII-0035-C"	2	2	2	2	2	2	2
"chrIII-0036-C"	2	2	2	2	2	2	2
"chrIII-0037-C"	2	2	2	2	2	2	2
"chrIII-0038-W"	4.00736	3.89799	2	2.39587	4.83661	3.46578	2.31867
"chrIII-0039-C"	2	2	2	2	2	2	2
"chrIII-0040-C"	2	2	2	2	2	2	2
"chrIII-0041-C"	2	2	2	2	2	2	2
"chrIII-0042-C"	4.65496	4.50804	6.69669	6.37028	4.94909	5.87874	4.12235
"chrIII-0043-C"	17.026	22.8776	32.5544	21.3836	23.9359	23.8844	28.2648
"chrIII-0044-W"	2	2	2	2	2	2	2
"chrIII-0045-W"	2	2	2	2	2	2	2
"chrIII-0046-W"	2	2	2	2	2	2	2
"chrIV-0047-W"	2	2	2	2	2	2	2
"chrIV-0048-W"	2	2	2	2	2	2	2
"chrIV-0049-W"	2	2	2	2	2	2	2
"chrIV-0050-W"	2	2	2	2	2	2	2
"chrIV-0051-W"	2.57947	5.34616	4.49377	7.92736	2	8.67049	2.78532
"chrIV-0052-W"	2	2	2	2	2	2	2
"chrIV-0053-W"	15.6146	6.68906	5.86868	2	4.01547	7.00665	11.5411
"chrIV-0054-W"	34.5754	7.43706	36.9818	17.9157	13.3617	14.1686	22.9074
"chrIV-0055-W"	120.908	106.284	135.266	112.686	100.598	112.001	85.5773
"chrIV-0056-C"	2	2	2	2	2	2.46577	3.67959
"chrIV-0057-C"	2	2	2	2	2	2	2
"chrIV-0058-W"	2	2	2	2	2	2	2
"chrIV-0059-W"	2	2	2	2	2	2	2
"chrIV-0060-W"	6.04522	2.51055	6.83207	5.12818	5.17875	4.89438	5.79751
"chrIV-0061-W"	9.03652	8.79314	5.39057	6.02998	10.1303	14.8329	17.4004
"chrIV-0062-C"	2.50913	13.9869	6.21207	14.1265	10.0883	18.7789	16.0994
"chrIV-0063-C"	2	2	2	2	2	2	2
"chrIV-0064-W"	2	2	2	2	2	2	2
"chrIV-0065-W"	2	2	2	2	2	2	2
"chrIV-0066-C"	2	2	2	2	2	2	2
"chrIV-0067-W"	2	2	2	2	2	2	2
"chrIV-0068-C"	2	2	2	2	2	2	2
"chrIV-0069-W"	2	2	2	2	2	2	2.29943
"chrIV-0070-W"	2	2	2	2	2	2	2
"chrIV-0071-W"	7.73833	6.3296	5.91782	12.6373	6.53412	9.13206	16.3286
"chrIV-0072-C"	2	2	2	2	2	2	2.81512
"chrIV-0073-W"	2.56394	4.3775	2.83615	2.57061	5.6457	2.95411	2.12462
"chrIV-0074-C"	2.92232	2.59595	3.11784	7.06414	5.00314	6.34821	5.15827
"chrIV-0075-C"	2	2	2	2	2	2	2
"chrIV-0076-W"	2	2	2	2	3.19235	2	4.48793
"chrIV-0077-W"	2	4.08178	2	5.39259	7.28895	4.8284	7.62653
"chrIV-0078-C"	2	2	2	2	2	2	2
"chrIV-0079-W"	2	2	2	2	2	2	2
"chrIV-0080-C"	2	2	2	2	2	2	2
"chrIV-0081-C"	13.7776	46.2153	35.8642	34.3451	40.824	44.1724	57.7054
"chrIV-0082-C"	2	2	2	2	2	2	3.54968
"chrIV-0083-C"	2	2	2	2	2	2	2
"chrIV-0084-C"	2	2	2	2	2	2	2
